col_item,lift,l1_dist,sparsity,mean_rel_delta,max_rel_delta,n_queries,segment
100974271034,0.0218215489958159,2.386081673640167,0.9513847866108787,0.025244118953974895,0.0739397461087866,239,Structural shift
AU3CB0228823,0.002575622393162393,9.429453403162393,1.0,0.0067103945299145295,0.01883203376068376,117,Structural shift
AU3CB0258465,0.002933964298245614,8.000097929298246,1.0,0.005675297850877193,0.016290509692982458,228,Structural shift
AU3SG0001985,0.0027906673262032087,9.522458812299465,1.0,0.00752631192513369,0.021295525989304814,187,Structural shift
AU3SG0002199,0.0031292910714285716,8.238521029642857,1.0,0.0063801946938775505,0.017549709285714286,196,Structural shift
BE0974271034,0.020037230772532187,2.5106343347639486,0.9507460128755365,0.026686978540772534,0.08304575124463519,233,Structural shift
BE0974293251,0.0162151006097561,23.558647154471544,0.9907084878048781,0.020640194146341464,0.06323049808943089,246,Structural shift
BE0974303357,0.024377780323886638,2.112877894736842,0.9317525263157895,0.032270847408906886,0.08857135894736842,247,Structural shift
CH0198251305,0.01023002669387755,13.88237118367347,0.9727891428571428,0.026551145020408163,0.08698479714285713,245,Structural shift
CY0109232112,0.02554927103030303,0.12749472339393939,0.9212121999999999,0.03910749387878788,0.10205972321212121,165,Structural shift
DE0001102325,0.0007401999029126213,0.9352664524271845,1.0,0.000426779854368932,0.0015422747572815534,206,Structural shift
DE0001102457,0.001809264734299517,5.697813549758454,1.0,0.002613603188405797,0.007308950531400966,207,Structural shift
DE0002635307,0.005700139299610894,10.235130155642024,0.9918473307392996,0.01073185027237354,0.031000214396887157,257,Structural shift
DE0005552004,0.01080211439834025,32.21166763485478,0.9865639336099585,0.02939516834024896,0.06851645178423237,241,Structural shift
DE0005557508,0.00790722544680851,5.239491914893617,0.9906788340425532,0.01462984510638298,0.042204994,235,Structural shift
DE0005933931,0.013171519017094017,31.12531452991453,0.9810745000000001,0.011681572478632479,0.034928051538461534,234,Structural shift
DE0005933956,0.013682360360000001,11.373905,0.9902857239999999,0.0133154516,0.03859628348,250,Structural shift
DE0006047004,0.017340282145748988,25.997840485829958,0.977058052631579,0.019535083157894737,0.0555634348582996,247,Structural shift
DE0006599905,0.012429991785714285,98.37648412698412,0.9777022142857142,0.024699534126984127,0.06470585686507936,252,Structural shift
DE0007100000,0.013996422055335968,35.7383418972332,0.9939770434782609,0.023516245849802372,0.07371640158102766,253,Structural shift
DE0007164600,0.013981476540084388,39.51030548523207,0.9877436329113924,0.016383186919831223,0.05094866012658228,237,Structural shift
DE0008404005,0.010779396527196653,65.12580543933053,0.9784817907949791,0.014973296527196653,0.04873746573221757,239,Structural shift
DE000A0DEN75,0.00210818255,7.421794274400001,0.9930952449999999,0.0039333825499999996,0.01260924435,200,Structural shift
DE000A0H0728,0.00724024896,10.45949168,0.988380964,0.020652396360000002,0.06672810736,250,Structural shift
DE000A0H08Q4,0.010818219960474308,33.927727272727275,0.9838133043478261,0.023134872055335966,0.06042938007905138,253,Structural shift
DE000A0H08R2,0.005478102879999999,4.981857799999999,0.98285716,0.0110706588,0.0307687656,250,Structural shift
DE000BASF111,0.013177519563492064,23.282650793650795,0.99338625,0.01861697305555556,0.055822240833333335,252,Structural shift
DE000BAY0017,0.014593476853448275,20.790401939655172,0.9802955862068965,0.01840541478448276,0.052882123275862065,232,Structural shift
ES00000121G2,0.0007545924352331606,1.7836945481865285,1.0,0.0007685926424870465,0.0029532664248704665,193,Structural shift
ES0000012A89,0.0008477344347826087,5.562077612173913,1.0,0.0024682149565217392,0.007688470695652174,230,Structural shift
ES0000012F43,0.0013924287966804979,7.835076638506224,1.0,0.00369611867219917,0.010462648755186722,241,Structural shift
ES0000012G00,0.005823255675675675,20.56712514234234,1.0,0.011053853423423424,0.031670287747747744,222,Structural shift
ES0113900J37,0.022491438663967613,1.5408231781376518,0.9922884210526315,0.023952975425101216,0.07006645040485829,247,Structural shift
ES0144580Y14,0.013959726178861789,4.091703455284553,0.9785133780487805,0.019489769796747967,0.05751728211382114,246,Structural shift
ES0173516115,0.0111432912109375,5.081721484375,0.98493305078125,0.0216768834765625,0.059762074296875,256,Structural shift
ES0178430E18,0.00760988,1.5453177327935224,0.9915172631578948,0.01781171923076923,0.04907858020242915,247,Structural shift
EU000A1G0D39,0.0003358568055555556,1.049920692037037,1.0,0.0004958868981481482,0.0015561561574074076,216,Structural shift
EU000A1U9985,0.0005803496648044693,0.20483775977653632,0.9869646312849163,9.704988826815643e-05,0.00042254530726256985,179,Structural shift
FI0009000681,0.014088317209302327,2.728904457364341,0.9953857558139535,0.026938702093023258,0.0679391995736434,258,Structural shift
FI0009003305,0.0121052182421875,14.077821875,0.979910734375,0.01551252609375,0.045532867890625,256,Structural shift
FR0000120271,0.01804069202479339,18.433329752066115,0.9919323181818182,0.020077379132231402,0.05655299293388429,242,Structural shift
FR0000120578,0.005185042128514057,25.907447389558232,0.9896729879518072,0.013535197148594377,0.03819029096385542,249,Structural shift
FR0000120628,0.00870463528,9.820343999999999,0.9849523960000001,0.01901427124,0.05540185248,250,Structural shift
FR0000121014,0.009363634471544716,314.23370731707314,0.9854820121951219,0.02267200056910569,0.06269097646341464,246,Structural shift
FR0000125007,0.010119460696721311,29.241331967213117,0.9898516885245902,0.024017617786885246,0.06813807454918033,244,Structural shift
FR0000125486,0.009228425450819672,31.35949836065574,0.990827487704918,0.016237773278688524,0.049498732581967214,244,Structural shift
FR0000131104,0.013769234732510287,29.921119341563788,0.9915735925925926,0.026119302633744856,0.0707744237037037,243,Structural shift
FR0000131906,0.016660892415254237,16.836546610169492,0.9911218813559322,0.026948771228813558,0.08610917775423729,236,Structural shift
FR0000133308,0.006619852272727273,2.4844165289256197,0.9876033181818181,0.011641933429752067,0.03502124338842975,242,Structural shift
FR0007054358,0.014802340398406374,11.72823984063745,0.9897552749003984,0.013914614980079681,0.04189671262948207,251,Structural shift
FR0010315770,0.01236260636,63.208591999999996,0.9944761959999999,0.01131926988,0.031236701119999998,250,Structural shift
FR0010510800,9.573972972972973e-05,0.20987783783783784,0.9317890000000001,9.688567567567568e-05,0.00025049027027027027,37,Structural shift
FR0013176526,0.011432873040000001,14.3795008,0.982476208,0.030003853559999998,0.08882824576000001,250,Structural shift
FR0013480613,0.006222097623318385,23.88650434188341,1.0,0.012190233183856501,0.03447123735426009,223,Structural shift
GB00B15KXV33,0.024164291434262946,4.980564215059761,1.0,0.035031468605577695,0.09289142043824701,251,Structural shift
GB00BH4HKS39,0.028684851379310344,0.6940939179741379,1.0,0.02282702775862069,0.06335680137931034,232,Structural shift
GB00BN7CG237,0.01634759418803419,16.942382292478634,1.0,0.05875362034188034,0.1703487329059829,117,Structural shift
GR0114031561,0.00114105,3.2487062269444444,0.8994709999999999,0.0014424221759259258,0.005444276851851853,216,Structural shift
GR0114032577,0.0017094575,6.491861435384616,0.8589745,0.003313686153846154,0.013913653269230768,52,Structural shift
GR0118019679,0.0014690758823529412,6.651720874796379,0.9480715882352941,0.00300887407239819,0.010675574253393666,221,Structural shift
GR0118020685,0.000983608537735849,8.567866433962264,0.9474394056603774,0.0038554664150943396,0.012009960047169812,212,Structural shift
GR0124035693,0.004506302614107884,11.713492116182572,0.9438846639004149,0.004762547136929461,0.016038734024896265,241,Structural shift
GR0124036709,0.0024540163913043477,12.25456293673913,0.9501035695652174,0.005900862565217391,0.017481569782608695,230,Structural shift
GR0124037715,0.003742427326732673,15.384433444455446,0.9226780594059406,0.0084447700990099,0.024932024455445546,101,Structural shift
GR0128016731,0.005714644148471616,20.39227007724891,0.9542524890829694,0.009677657205240175,0.02858939253275109,229,Structural shift
GR0138017836,0.013789569375,34.495242553375,0.9196429375000001,0.021057022875,0.07602013175,80,Structural shift
GRC1441197B3,0.00200375476,9.88638455508,0.932190544,0.00483000076,0.013706042719999999,250,Structural shift
GRC1451184D4,0.0020763032888888888,5.381651235555555,0.84952392,0.0024910565333333334,0.008273488711111112,225,Structural shift
GRC419120AD7,0.0017605609693877552,7.454067547499999,0.9533528163265307,0.003562698112244898,0.01095178306122449,196,Structural shift
GRC422116743,0.05663743000000001,0.0,0.0,0.0,0.0,12,Actionable
GRC4261213D5,0.0019886005263157897,10.022854196210526,0.9944862210526316,0.004951022842105263,0.01603627463157895,95,Structural shift
GRC4951193D4,0.00199694939516129,10.34611061830645,0.9341398508064517,0.004976844314516129,0.015931932943548385,248,Structural shift
GRC5091217D9,0.0015941135714285716,14.818753692857143,1.0,0.007689389285714285,0.025056269285714285,14,Structural shift
GRC5211214B5,0.0018869254716981133,16.137258037735847,0.9433962830188679,0.007869682075471698,0.02481478037735849,53,Structural shift
GRC813119AD1,0.0019940594300518135,9.531929729222798,0.911423725388601,0.004634188497409326,0.014184033005181347,193,Structural shift
GRC815117CD9,0.0049539736286919826,5.978506342616034,0.4143057341772152,0.0028500886497890296,0.02133776105485232,237,Actionable
GRC8161185B1,0.0023157655555555556,6.523123349325396,0.8828421428571429,0.0030665903968253964,0.010201801785714285,252,Structural shift
GRC8171186B7,0.0032956292735042735,7.92412150940171,0.7873424572649572,0.003807143888888889,0.013550963504273504,234,Structural shift
GRF000011004,0.004115609802371542,0.5752682292490118,0.995671,0.0066122156126482215,0.018768336521739128,253,Structural shift
GRF000014008,0.0013138294520547947,0.7217684337899543,0.9928245342465754,0.0032800437442922375,0.009151307762557079,219,Structural shift
GRF000022001,0.0007875882638888889,0.22754961111111113,0.9718915625,0.0008150149305555555,0.0025282816666666666,144,Structural shift
GRF000023009,0.0030879929707112973,2.653630519665272,0.9996015146443515,0.004293551966527197,0.013826986276150628,239,Structural shift
GRF000024007,0.0014352389261744966,0.4251383087248322,0.9929690067114094,0.002512556912751678,0.007095687181208054,149,Structural shift
GRF000025004,0.0033310137391304347,0.7501015956521739,0.9991718434782609,0.004713772304347826,0.013925714869565217,230,Structural shift
GRF000029006,0.0007141689617486338,0.17753925792349726,0.9903721147540984,0.0007509970491803279,0.002214951256830601,183,Structural shift
GRF000030004,0.00105849324,1.052815394,1.0,0.0046138833200000005,0.01309557452,250,Structural shift
GRF000031002,0.00520226979757085,2.0552981684210527,0.9998072105263158,0.006340642429149798,0.018123415951417005,247,Structural shift
GRF000032000,0.0035293504564315355,2.1337048713692948,0.9990120539419087,0.006522587219917012,0.01852241141078838,241,Structural shift
