,mean_delta
w_0,-0.42751609016624387
w_1,-0.3573233662565267
w_2,-0.32502195260144595
w_3,-0.31942501320379374
w_4,-0.3183463870661082
w_5,-0.328401638245575
w_6,-0.34737774893606344
w_7,-0.35283955354724283
w_8,-0.3729917814123771
w_9,-0.34407029567823194
w_10,-0.35651594028609523
w_11,-0.39182032798565614
w_12,-0.4069578581534832
w_13,-0.43092072641899826
w_14,-0.467335165933168
w_15,-0.4821543827857248
w_16,-0.5111172123374118
w_17,-0.4691968415683055
w_18,-0.44232563412005715
w_19,-0.44318307761969217
w_20,-0.4315489214129164
