metric,mean,median,std,min,max
annualized_prof@1,0.16477840123903625,0.0,1.0072499608919814,-0.934463402612246,4.029336633256158
annualized_prof@10,0.6399587423678564,0.5383033609593695,0.8986558720385229,-0.4456215884916136,3.867653208101226
annualized_prof@100,0.4111551586184462,0.4768043562632408,0.4310603328465049,-0.2624179879186825,1.348129007644399
annualized_prof@1000,0.2125828041186971,0.2776784539908859,0.23676418795141824,-0.1830094350705036,0.7021857936895131
annualized_prof@20,0.5925903223066628,0.5332467757928167,0.694065595987019,-0.2794744792389084,2.642253525454868
annualized_prof@5,0.6276688346213257,0.2990199022593286,1.311410881762587,-0.5903085903950581,6.674191710163579
annualized_prof@50,0.5259004702894657,0.5171760631338954,0.5550210860792679,-0.2848726042696214,1.9326174261499804
cpu_energy_kwh,0.026746009965146908,0.0234143828220468,0.01556231579437655,0.0047375448303106,0.0594035342636227
energy_consumed_kwh,0.07385512253538158,0.0638258412299441,0.04482127809084318,0.0103759963566882,0.1666727075218983
generalization_gap_r2,1.238564123565643,1.2233967619544948,0.25355197711256716,0.8828791221419034,1.8159757150287617
gpu_energy_kwh,0.04203749979117507,0.0359114337291242,0.02634433283712118,0.0047580371397604,0.0962000275155157
monthly_prof@1,-0.020329758895406412,0.0,0.0931284040122582,-0.3791694343403742,0.1419248921819117
monthly_prof@10,0.012115646600101561,0.0198487233112571,0.03911332700138641,-0.0586052097979698,0.082296034360439
monthly_prof@100,0.008708857166406882,0.015988189980637,0.027867841878478208,-0.0466372592992184,0.0536261785508246
monthly_prof@1000,0.004436259094065047,0.0108985800807578,0.01606902006867462,-0.0305802938233901,0.0284878128395801
monthly_prof@20,0.011990153166338838,0.0178109952273921,0.033572235400941376,-0.0561824060141551,0.0759469839911287
monthly_prof@5,0.007024291761960014,0.0070893050947255,0.045704196123943705,-0.1171297761119859,0.1059072672881687
monthly_prof@50,0.01048302250586318,0.0155623543001892,0.030398469249507447,-0.0490369184499276,0.0589534818048536
ndcg@1,0.006973899439322309,0.0,0.02508213748572624,0.0,0.1482720178372351
ndcg@10,0.02542846662707858,0.015039095673273,0.029967024805116517,0.0023295483705433,0.1315309383184678
ndcg@100,0.10442206976089066,0.0908464307079914,0.04797546439611378,0.0227589639483276,0.2188116692217308
ndcg@1000,0.19687319346095544,0.1884119206623974,0.029841233753844325,0.1560173389600112,0.2930062147457241
ndcg@20,0.04393497819187271,0.0263128230659695,0.04054622046158867,0.0079408324002835,0.1525909685438316
ndcg@5,0.014587772754689603,0.0051862895161618,0.025307465790514887,0.0,0.1279751562916864
ndcg@50,0.07541674246774972,0.059533535729861,0.04625787730347477,0.0182711407442516,0.189483957101034
predict_seconds,149.24310506557376,131.37224,98.95786157788508,20.552368,348.576256
profitability@1,-0.01161382530803131,0.0,0.43250681288383114,-0.8828838106266419,1.2473130806643924
profitability@10,0.16402534904267163,0.1875770948768326,0.2762241933335974,-0.2841334532179612,0.8719862870491953
profitability@100,0.10986079065133758,0.1511052188308595,0.17515658566959036,-0.2044160326786534,0.437683212499643
profitability@1000,0.05443925034168422,0.0920129754083559,0.09945918396444793,-0.1427700202947761,0.2194923984907134
profitability@20,0.15625601771418846,0.1753981054223677,0.23106977335451834,-0.2016253852739016,0.7136172284948042
profitability@5,0.14023914308784827,0.070609804684615,0.3384522908037535,-0.3855366865091684,1.3181386677567344
profitability@50,0.13593649593425117,0.1539791456272765,0.20078441788034615,-0.1970488098900962,0.5387009361330528
ram_energy_kwh,0.0050716127790594945,0.0044242879837392,0.002919850156021615,0.0008804143866171,0.0110691457427596
test_mae,0.18463487175829768,0.19086943396842285,0.023238735628168347,0.1422424120280608,0.2244467707935384
test_r2,-0.2746650765333588,-0.290036272770405,0.25861791954390195,-0.8397803983938283,0.1089108119477102
test_rmse,0.3481804926395411,0.33943952100300384,0.03460765827458903,0.3027624375410492,0.4200951267760603
test_samples,37403.53846153846,37691.5,1083.2753382504088,35245.0,38675.0
total_seconds,486.31925116393444,423.604582,279.4180643498248,85.123779,1059.964389
train_mae,0.009781418364967043,0.00976184832462315,0.0018360177062632973,0.0061883646661159,0.0122031649482555
train_r2,0.9638990470322842,0.9749869336829498,0.023916840384969544,0.9237066093020097,0.9930120268474498
train_rmse,0.05781989403468498,0.051858758784990897,0.021500422725009693,0.0240517864569967,0.0890780119556001
train_samples,54600.153846153844,54291.0,19551.80025203267,22828.0,86739.0
train_seconds,337.07614609836065,308.006859,181.52302014795114,64.571411,711.388133
volatility@1,0.8248100376505957,0.6904205787502159,0.5181311294939522,0.0,2.0320044165162745
volatility@10,0.651680201176406,0.6469918652311655,0.07374723026193884,0.4416348216680411,0.8274533836445331
volatility@100,0.49758268055321453,0.4629755638919122,0.10437419632200845,0.3540437499376887,0.7225757050108432
volatility@1000,0.2719974847734931,0.25136818350684,0.06767929674192426,0.2017526723722723,0.4112161814622248
volatility@20,0.6262831688455461,0.6240365785564148,0.06268495505697765,0.4750245847888636,0.8351875387237938
volatility@5,0.6732617078562095,0.6625782728754098,0.1570196415777058,0.3269984709467093,1.0393553054051423
volatility@50,0.5738598977308838,0.5522240075029038,0.08690233507911506,0.4385556710954354,0.7638940451832099
