metric,mean,median,std,min,max
annualized_prof@1,1.5775394437494425,-0.004385168642084349,5.062243187637734,-0.9003086223432611,27.33663888309144
annualized_prof@10,1.0878059575281815,0.8826602076319585,1.2938702210677298,-0.180311482486823,4.772836881982416
annualized_prof@100,0.6180326138630989,0.7592219765481242,0.4785919992597872,-0.1167703760257361,1.4197045398499717
annualized_prof@1000,0.2589543790352177,0.2995526093090539,0.20898635333306476,-0.107006445326887,0.6137649115129611
annualized_prof@20,0.911559875696173,0.8800440170079621,0.8807717075994453,-0.0646024782485919,3.590335800467878
annualized_prof@5,1.5227618613106602,0.8322880923793766,2.4269892747463615,-0.3779345349711149,9.142166821703077
annualized_prof@50,0.7493040068337854,0.8500089551604395,0.6279430619433963,-0.1205213580834538,2.11694920561601
cpu_energy_kwh,0.0015105163629128406,0.0014934809622372,0.00022062624589712747,0.0011775928814779,0.0020885734535114
energy_consumed_kwh,0.005056815378038435,0.00501838886963135,0.0005259367107445284,0.0041498025290682,0.0060480340687731
generalization_gap_r2,1.318205973977275,1.2786905909135797,0.24386955167246538,0.9660205828948466,1.806013847730408
gpu_energy_kwh,0.0008693963205163594,0.0008671387492662,7.89696956332469e-05,0.0007093491785896,0.0010026258021014
monthly_prof@1,0.01570229027106624,-0.00687292188170915,0.101862783027931,-0.1726335907392938,0.3163491461875446
monthly_prof@10,0.01971708113936132,0.02597416174465425,0.03343943475031673,-0.0556164847850221,0.0749952433638066
monthly_prof@100,0.019624799304760413,0.02335109858914395,0.02314705793396976,-0.0220239674049969,0.0495998340909558
monthly_prof@1000,0.009946742118007192,0.0119604308504073,0.01204107033371282,-0.0144157956370413,0.0284878128395801
monthly_prof@20,0.022081119991093728,0.03360260794302885,0.02904223674829941,-0.0316571993022089,0.0607419432534213
monthly_prof@5,0.01899379866457575,0.01962461001562005,0.041997738770064616,-0.0635510917093535,0.0900856039856075
monthly_prof@50,0.021234324329035055,0.0265429836181557,0.02782096730725893,-0.0275584919500264,0.0617234879068949
ndcg@1,0.008515758823911179,0.0,0.013906029032493758,0.0,0.0371708828084667
ndcg@10,0.01997934500094352,0.0137071470917317,0.016893285851905627,0.001326420488221,0.0699621242900757
ndcg@100,0.09183809986057931,0.0942318200473951,0.021059495839381995,0.0513888593619117,0.1449893365002525
ndcg@1000,0.18744234852452377,0.19016964401714537,0.013306407575983559,0.1667725656113541,0.2227720016935573
ndcg@20,0.031542710098270615,0.03489678872514945,0.017482779593300322,0.0082504298221583,0.0767366969869516
ndcg@5,0.014004351705602755,0.00548740183207325,0.01652774555718617,0.0003367416112962,0.0701488728010975
ndcg@50,0.06262718150689481,0.0638719762842863,0.021474719739602244,0.0269490986744788,0.1205266609883322
predict_seconds,61.7049821875,65.26822899999999,8.992668687899233,32.529573,68.183716
profitability@1,0.29521592076726344,-0.03595374538661515,0.9491434190255484,-0.6852562630394865,4.298886894703186
profitability@10,0.24954514608691142,0.2537459494394789,0.25376403009746235,-0.1411890922870896,0.8344147822869544
profitability@100,0.18454129578104222,0.2125575356603953,0.16262449423450348,-0.0904927539993293,0.4051462943057965
profitability@1000,0.08531889178642932,0.09733122538572775,0.08150256075105333,-0.0693728607458421,0.2194923984907134
profitability@20,0.24114529607691,0.3172201477954733,0.2172561063280711,-0.0868368942992669,0.6717913370523543
profitability@5,0.28724040045227717,0.2051761182479121,0.38594883850489187,-0.2700218617122251,1.2620116082124484
profitability@50,0.21479257198782176,0.2548086552024613,0.19722316555744962,-0.1017668582138006,0.5325887157816186
ram_energy_kwh,0.002676902694609125,0.00266965471912325,0.00025154308785029276,0.0022301018316831,0.0032358695147297
test_mae,0.16703789617650763,0.1712783563945643,0.02717140936329619,0.1309016969112092,0.2078691824901923
test_r2,-0.3220084008575471,-0.2826650605725066,0.24384569699504532,-0.8091739706539081,0.0305141739349587
test_rmse,0.346899018662804,0.34495135299639434,0.057084738498183595,0.2499081371823562,0.4531154539190055
test_samples,65087.09375,65135.0,272.83001435668797,64379.0,65527.0
total_seconds,269.5540548125,269.06989999999996,23.696520944272727,221.406938,310.104144
train_mae,0.006792945272052931,0.006857047914362899,0.0003049368741297288,0.0063068018706138,0.0072526639714462
train_r2,0.9961975731197278,0.9961277076465358,0.0004202223224158383,0.9953557814990835,0.9968709622491844
train_rmse,0.020929344072193993,0.0211262089130311,0.001065360610229677,0.0191322050652958,0.0229495768519976
train_samples,229579.5,229088.0,39538.6626317795,163218.0,293561.0
train_seconds,207.849072625,207.57883099999998,24.019185477671385,168.675727,245.934127
volatility@1,0.8172867802049001,0.9160938025403536,0.42004300646641013,0.2784572885353543,1.5919859179153533
volatility@10,0.6675010097621377,0.6640901072247589,0.08938867465116444,0.527641340643156,0.8639884518709415
volatility@100,0.45106622055942047,0.44840151086764973,0.02685660023029703,0.3994020575633273,0.4959380444595767
volatility@1000,0.22983263187239916,0.22606189645704888,0.020363235481986562,0.2017526723722723,0.2607777640238322
volatility@20,0.5963073121048448,0.5973169396769473,0.060762823275578665,0.4838241117196767,0.7212389219173444
volatility@5,0.7575725850467832,0.7324932547516255,0.17985228448784754,0.3477698174161462,1.2067243385426023
volatility@50,0.5262078866003606,0.5294696513130726,0.03820247419856044,0.4472537586804717,0.5956354857443745
