metric,mean,median,std,min,max
annualized_prof@1,0.21753125448900817,0.0,1.0846851724187108,-0.934463402612246,4.379537728402105
annualized_prof@10,0.6173193574935621,0.538495187868811,0.8293765677211044,-0.3915984028334831,3.8092575384430982
annualized_prof@100,0.4287481663932907,0.4857726460835219,0.44437497289450434,-0.2504789753742444,1.3144951287852549
annualized_prof@1000,0.2125828041186971,0.2776784539908859,0.23676418795141824,-0.1830094350705036,0.7021857936895131
annualized_prof@20,0.5817159792405164,0.5332432199855335,0.673040564493318,-0.2905127971562439,2.69618456930986
annualized_prof@5,0.6359258662877049,0.3204493140294542,1.2296716503808596,-0.5828154924392374,5.844622448047791
annualized_prof@50,0.5151313020846737,0.5111219307387166,0.5447363307266213,-0.2991480861456486,1.9508523911815503
cpu_energy_kwh,0.031161305538081812,0.028293262005147,0.017229422691470975,0.0051934917006233,0.0631835391229019
energy_consumed_kwh,0.08639176546405701,0.0779354645639266,0.04908980154056939,0.012150034259645,0.1759917493577147
generalization_gap_r2,1.2535651928749156,1.2563018176020566,0.2797065465441892,0.8935660961217382,1.794142278376442
gpu_energy_kwh,0.04935386293478909,0.0443244976817913,0.028681388647654963,0.0059442361442743,0.1011700376026318
monthly_prof@1,-0.01804690423390328,0.0,0.09504970508077192,-0.3791694343403742,0.148315506385452
monthly_prof@10,0.012599659272896035,0.0161130624893742,0.03705533229042183,-0.0532928033039522,0.0779753725379366
monthly_prof@100,0.008851401328640561,0.0189199521712842,0.027983027751130766,-0.0464072534953948,0.0517623020791839
monthly_prof@1000,0.004436259094065047,0.0108985800807578,0.01606902006867462,-0.0305802938233901,0.0284878128395801
monthly_prof@20,0.012021254232137435,0.0165572138041382,0.03236258005722819,-0.0505142269117334,0.0744677499519825
monthly_prof@5,0.00810231889146213,0.0047901448246404,0.045587344598519604,-0.1171297761119859,0.0997951499604765
monthly_prof@50,0.009913131329549622,0.0140066566816675,0.030081433655162398,-0.0501057562220677,0.0603810727726376
ndcg@1,0.005780629177339304,0.0,0.02228031330983595,0.0,0.1482720178372351
ndcg@10,0.023095308662994998,0.0123164134255955,0.0278343353008222,0.002054653942093,0.1273056706936615
ndcg@100,0.10466632858670888,0.0919887015187826,0.04589950355360906,0.022330365081127,0.2220774591685355
ndcg@1000,0.19577996404687428,0.188722918548419,0.028412321102288352,0.1563261619431616,0.2924741186550442
ndcg@20,0.04270784973840415,0.0262300422203978,0.038880778905677725,0.0072243283624177,0.1489130089366251
ndcg@5,0.012470114618115142,0.004898828317964,0.02199429263893038,0.0,0.127564098077973
ndcg@50,0.07584448972298288,0.0597663047836867,0.04694701186196519,0.0168765677245484,0.1948916881594267
predict_seconds,190.4671609344262,165.695131,130.1082862034794,21.805953,451.419981
profitability@1,0.006876677507417083,0.0,0.45229901983679466,-0.8828838106266419,1.3462678047460983
profitability@10,0.1618630344164304,0.1765918783188671,0.26037595053742546,-0.2545292215527711,0.8441171481331335
profitability@100,0.1124792108707476,0.1479529253612619,0.1767605015905202,-0.203953207995708,0.4242824985200834
profitability@1000,0.05443925034168422,0.0920129754083559,0.09945918396444793,-0.1427700202947761,0.2194923984907134
profitability@20,0.15481530668184118,0.1572988020265104,0.22360976051682596,-0.2145710801317883,0.7015406310017491
profitability@5,0.1463854127036936,0.0790957695227449,0.328154096032666,-0.3816885031791096,1.0986106754398115
profitability@50,0.1323390166995673,0.1597988562606273,0.19839999096467395,-0.2069451655498272,0.5475611888150462
ram_energy_kwh,0.005876596991185974,0.0053177048769881,0.0031831652224444083,0.0010123064147473,0.0116381726321809
test_mae,0.18357918336457565,0.1920159360534132,0.025913096421001435,0.1421347268202362,0.2261112721027253
test_r2,-0.2804822669799832,-0.3192480983434682,0.2861119688817882,-0.8180140907814872,0.0991675335294549
test_rmse,0.33500470938151566,0.3396266385543244,0.018890074622701886,0.3022125970176654,0.3659791623316859
test_samples,43169.95238095238,43672.0,1197.839074174423,40974.0,44630.0
total_seconds,563.393069885246,509.558388,304.58315597373684,96.717469,1114.771917
train_mae,0.008863042263301861,0.0092496545122177,0.0016299179287592774,0.0058303993079921,0.0112717271529141
train_r2,0.9730829258949326,0.9761924649745436,0.018220464412741846,0.9370537192585884,0.9935352523632486
train_rmse,0.04997291832835593,0.0493188570686889,0.01810164422247052,0.0236837724602685,0.0816242185912554
train_samples,56181.380952380954,56354.0,18369.136850914336,26631.0,86186.0
train_seconds,372.9259089508197,343.863257,186.3286900111296,74.911516,730.105177
volatility@1,0.8116614866786312,0.6904205787502159,0.5150301485768903,0.0,2.0320044165162745
volatility@10,0.6495125011455221,0.6514243365403384,0.06950896800245718,0.4870725068154274,0.8266047077530998
volatility@100,0.49770147904334344,0.4616132848679001,0.10512164253821486,0.3671335772077507,0.734937826457806
volatility@1000,0.2719974847734931,0.25136818350684,0.06767929674192426,0.2017526723722723,0.4112161814622248
volatility@20,0.6303811188110016,0.6232484897215934,0.06107436126075612,0.4925154049085486,0.8311761826380544
volatility@5,0.666989986897959,0.6684646676417746,0.1507456657919342,0.2921495713005055,1.0393553054051423
volatility@50,0.5754895262523392,0.5471645218731848,0.08663532671404571,0.4617329514944361,0.7635870315085375
