metric,mean,median,std,min,max
annualized_prof@1,0.5405681870896477,0.0,1.5032596880248907,-0.8382041221068476,6.559894000006162
annualized_prof@10,0.37464037153330315,0.2923383098637673,0.49395127057420085,-0.4016664663643272,1.877444241877258
annualized_prof@100,0.35352985482692534,0.2375190080343142,0.39116611543479823,-0.1970804457774941,1.0373685492622076
annualized_prof@1000,0.16141416972805367,0.1684742010051567,0.2580672454980285,-0.1830094350705036,0.7021857936895131
annualized_prof@20,0.52885471731238,0.5526606692310428,0.5198721739262748,-0.2215483083395795,1.9073437698689253
annualized_prof@5,0.41329326465405025,0.4822965376636486,0.45115306472800976,-0.4022385378675243,1.335315033815916
annualized_prof@50,0.477870923522832,0.3870973736633041,0.46627235629111813,-0.2903405412245119,1.4361576232256903
generalization_gap_r2,0.7779325188187307,0.6811494353874685,0.25722627861593955,0.5070004041102084,1.3706902820072775
monthly_prof@1,0.013930621084045074,0.0,0.06073714122278366,-0.1428902687400084,0.1808349429632976
monthly_prof@10,0.0053049898583352,0.0085684956110828,0.027874972177633836,-0.0575483121778832,0.0482050617498797
monthly_prof@100,-0.0017873653895125686,0.003328046943313,0.03052914711961948,-0.0477130889260256,0.0409620632059594
monthly_prof@1000,-0.0016442738978711133,0.0053547751039485,0.017882841572979976,-0.0305802938233901,0.0208398055859191
monthly_prof@20,0.008339646264417942,0.0118105662719495,0.027105725096101776,-0.0345174054867026,0.054485034994797
monthly_prof@5,0.008860824899587179,0.0134475535381091,0.02713539144994308,-0.0538212710269581,0.042890979780463
monthly_prof@50,0.002649394640216093,-0.0029898236578216,0.031051015656448345,-0.0488742723915196,0.0514338545738327
ndcg@1,0.0068195981358527965,0.0,0.00904681488898571,0.0,0.0269196822594881
ndcg@10,0.03561942935162305,0.0125871657907026,0.04456310273136478,0.0022367327720391,0.169249118339916
ndcg@100,0.13141636025174996,0.1181252122067977,0.04811075563727405,0.0592141049120748,0.2451635796643742
ndcg@1000,0.2169581429565336,0.2043679280778625,0.027839237349190218,0.1808770784921098,0.2990042063053151
ndcg@20,0.05833155017558983,0.0374881131497785,0.0519115542637945,0.0040396790882527,0.1781151958579505
ndcg@5,0.02157198614729443,0.0068349714961194,0.037930771726791095,5.886275348243237e-05,0.1578230845566141
ndcg@50,0.09273192599198633,0.0663145871426243,0.05191304997499025,0.0385994237122581,0.2152080351245169
profitability@1,0.15212857296871055,0.0,0.4664185520148799,-0.6061687323823247,1.7568531969317114
profitability@10,0.09305815492881676,0.0861611818412031,0.1828199525579011,-0.2653098073497967,0.4599116302643212
profitability@100,0.057893956959604635,0.0571160290194163,0.1806699351693758,-0.1805193207928332,0.3396473735499636
profitability@1000,0.020365163230241352,0.0518112788986655,0.10747443810174787,-0.1427700202947761,0.1629987376955643
profitability@20,0.12499342730010408,0.1164977893694883,0.17947432075547076,-0.1467767641870536,0.5105497649405111
profitability@5,0.11424648368946459,0.1336099765179693,0.17341046569196822,-0.2582090801499493,0.3568454808768633
profitability@50,0.09399384172312777,0.0606652083142503,0.19227833301298095,-0.2167849122327144,0.4396920785549382
test_mae,0.1871094010065779,0.1842392626265551,0.02728572831627939,0.1389698604472195,0.235575496698894
test_r2,-0.18667903209664902,-0.1217870463033743,0.25682669802263347,-0.7705935559952253,0.1877270649489127
test_rmse,0.3426802964060353,0.3359681390436883,0.03236498974131447,0.2916343759186517,0.3928710966550314
test_samples,62473.1724137931,63064.0,1898.8909370051717,58596.0,64785.0
train_mae,0.11650970403601932,0.1103151786640588,0.014625262342011022,0.0919334330344683,0.1406986150587672
train_r2,0.5912534867220817,0.611255477718573,0.0758135189258387,0.4671065519812799,0.7037925367556447
train_rmse,0.20449354086462168,0.2006813881011338,0.021799211097724577,0.1591947596847337,0.23533869127729
train_samples,97483.27586206897,96896.0,36417.12776476843,38047.0,158008.0
volatility@1,0.4881554473141238,0.514123724520626,0.43138495404505983,0.0,1.437091608618848
volatility@10,0.5913074317635678,0.6042696360736356,0.10059790821630642,0.4220883231504345,0.8761533319902504
volatility@100,0.6067028041093118,0.5401223114271201,0.10511715459075226,0.4726552219300608,0.752533189303787
volatility@1000,0.318524219009183,0.2910398188004154,0.07129049303096868,0.2250193271271427,0.4112161814622248
volatility@20,0.6153904447317834,0.6036283777775872,0.05476290882152307,0.5158319407584377,0.7810890382818337
volatility@5,0.5634777047664249,0.5599836827184242,0.16874466429115287,0.1878472095886119,0.9274144511363356
volatility@50,0.6304349234522654,0.6372261539886672,0.07710527307354204,0.4952760580898863,0.749641858777278
