metric,mean,median,std,min,max
annualized_prof@1,0.3586643080207567,0.0,0.7934088833705022,-0.4943118712976947,2.8745435328530933
annualized_prof@10,0.4021770325511984,0.2752252253697834,0.7474541286561752,-0.3821035907506993,2.764861696339147
annualized_prof@100,0.30420273073031173,0.1886569607037146,0.4305910176674589,-0.2869093518358372,1.0601850172673752
annualized_prof@1000,0.16141416972805367,0.1684742010051567,0.25806724549802845,-0.1830094350705036,0.7021857936895131
annualized_prof@20,0.3506140960034094,0.248780780265865,0.5238194912183921,-0.3357736229405603,1.5651349479284389
annualized_prof@5,0.4252253588019545,0.1193513913531192,1.1661709854480802,-0.4107994950229981,5.888440604831938
annualized_prof@50,0.38953317846263386,0.3033602901289956,0.46354373193934256,-0.3608542095705435,1.4208079272121692
cpu_energy_kwh,0.004270422399543958,0.0043695825598299,0.0005074556660629429,0.0028513190207756,0.0048535052855789
energy_consumed_kwh,0.00701447122528049,0.0071786550432363,0.0009119507747504571,0.0042581013575413,0.0079812525965344
generalization_gap_r2,1.1538564328807797,1.1327927436289538,0.31054192014442494,0.7050007084458515,2.0308781875826805
gpu_energy_kwh,0.0019834548722031968,0.002057938590794,0.00033149655190162106,0.000889012100098,0.002394201359804
monthly_prof@1,0.016025388721011717,0.0,0.04018377423906686,-0.0544998619622937,0.1177557022196391
monthly_prof@10,0.0015225993152598002,-0.0007439093590799,0.03301396402084545,-0.0506580696707461,0.0694800609067561
monthly_prof@100,-0.002537021819964345,0.0013851283023293,0.03098734190192109,-0.0500855026377363,0.0419843821227856
monthly_prof@1000,-0.0016442738978711133,0.0053547751039485,0.017882841572979976,-0.0305802938233901,0.0208398055859191
monthly_prof@20,-0.0006433208488087449,-0.0122201830086673,0.030975866457509754,-0.0540190180649814,0.0515032851860664
monthly_prof@5,0.0008362362321755447,-0.0047990023472045,0.03341323233107633,-0.0573321787690597,0.0672904471722428
monthly_prof@50,0.0004348928529500898,-0.0013533655508365,0.03092059756104398,-0.0516956035456956,0.0478967603605898
ndcg@1,0.002404599738745989,0.0,0.007150498622550044,0.0,0.0341386554621849
ndcg@10,0.03308653259716203,0.0124413394267552,0.037942615446790666,0.0013912227019862,0.1816425366171578
ndcg@100,0.14567628330657076,0.1262673421023155,0.051314456570136634,0.081335974009615,0.279018695958964
ndcg@1000,0.21775994094370907,0.2111055730184564,0.02735508178293399,0.1861766570364095,0.3141899850703277
ndcg@20,0.058215933183030394,0.0455507093371487,0.04763520450710317,0.0081337130153339,0.1994339767945746
ndcg@5,0.01705870966496296,0.0052479992482262,0.023490839480506356,0.0001932678117715,0.1017870591479298
ndcg@50,0.10056454592239632,0.0808557192472869,0.05436986658232944,0.0321947276236218,0.2487241523784223
predict_seconds,46.20820031034482,46.637023,7.636638038178676,24.293572,57.232346
profitability@1,0.12931681908755582,0.0,0.29493517990478824,-0.288217970176321,0.9720415177288312
profitability@10,0.07910032987441512,0.079010644298759,0.2236348365377804,-0.2425996296656507,0.6376641675012922
profitability@100,0.04837828380498024,0.0397473106769447,0.18670002590358642,-0.2050536587067651,0.3472392864482697
profitability@1000,0.020365163230241352,0.0518112788986655,0.10747443810174787,-0.1427700202947761,0.1629987376955643
profitability@20,0.06346285408543087,0.0639648581526173,0.19397409906419702,-0.2445069401819093,0.4635913757375457
profitability@5,0.07369998178632148,0.0148627814424291,0.24898443454615943,-0.2688803751999959,0.8148840831619355
profitability@50,0.07306185691727268,0.0344407642792304,0.18994002921703548,-0.2434597457279476,0.4215190941444752
ram_energy_kwh,0.0007605939535332483,0.0007755000299498,8.854748697167877e-05,0.0005177702366676,0.0008573260477666
test_mae,0.19111800730224238,0.1949946921838941,0.029082622088387588,0.1352035391412993,0.2385478902336021
test_r2,-0.28167207275592077,-0.276850887109382,0.3128076973052832,-1.1045640285369132,0.1592632394501251
test_rmse,0.3473934773038169,0.3507491838874694,0.03894077942932137,0.2802914193399145,0.430339770342667
test_samples,3281.137931034483,3318.0,94.06636112642262,3084.0,3385.0
total_seconds,76.55358389655173,78.164551,9.05960566863947,51.546111,87.170094
train_mae,0.04098277791122326,0.0405905806508508,0.005454052183028463,0.0287580459724008,0.05222482877341
train_r2,0.8721843601248589,0.8685787183432054,0.032625023239145644,0.7969335822201585,0.9271823639279312
train_rmse,0.11385457709857325,0.1188454736838558,0.015439864276711674,0.0826241169634196,0.1455052035485338
train_samples,4861.310344827586,5061.0,1813.0570297438103,1704.0,7722.0
train_seconds,30.345383586206896,29.99962,3.4606459461001697,23.583065,36.494483
volatility@1,0.4532119855965529,0.4872059026453124,0.495592476354036,0.0,1.437091608618848
volatility@10,0.6228481907456458,0.5989349306608127,0.09639201189972987,0.4679759417571536,0.9146962551890128
volatility@100,0.5979778566183245,0.5593761365238745,0.10742040405866128,0.4508799115560239,0.7434233390184267
volatility@1000,0.318524219009183,0.2910398188004154,0.07129049303096868,0.2250193271271427,0.4112161814622248
volatility@20,0.6362940017111899,0.6232886725353749,0.08638464991219276,0.4966158552124528,0.7942740097332538
volatility@5,0.5878988563526019,0.5604816783094326,0.14270773633096875,0.4241888474182806,1.1335697801722828
volatility@50,0.6334074378238296,0.5959667064052394,0.10759001437548078,0.4786616731315253,0.7989914735688651
